id,behaviour,time
2.0,Graze,0.0
1.0,Head Up,0.0
1.0,Running,0.0
1.0,Walk,0.0
1.0,Graze,0.0
1.0,Head Up,0.0
6.0,Graze,0.0
1.0,Head Up,0.0
5.0,Graze,0.0
1.0,Head Up,0.0
5.0,Running,0.0
1.0,Defecating,0.0
5.0,Out of Focus,0.0
1.0,Head Up,0.0
5.0,Graze,0.0
5.0,Head Up,0.0
5.0,Graze,0.0
5.0,Graze,0.0
1.0,Head Up,0.0
5.0,Graze,0.0
6.0,Graze,0.0
6.0,Graze,0.0
6.0,Graze,0.0
2.0,Graze,0.0
2.0,Head Up,0.0
2.0,Walk,0.0
2.0,Head Up,0.0
2.0,Graze,0.0
8.0,Graze,0.0
2.0,Running,0.0
2.0,Walk,0.0
2.0,Walk,0.0
1.0,Graze,0.0
6.0,Occluded,0.0
1.0,Head Up,0.0
1.0,Out of Focus,0.0
6.0,Graze,0.0
6.0,Graze,0.0
6.0,Out of Frame,0.0
1.0,Walk,0.0
1.0,Graze,0.0
1.0,Graze,0.0
5.0,Graze,0.0
2.0,Graze,0.0
5.0,Head Up,0.0
1.0,Head Up,0.0
3.0,Head Up,0.0
3.0,Head Up,0.0
3.0,Running,0.0
3.0,Walk,0.0
3.0,Graze,0.0
4.0,Graze,0.0
4.0,Head Up,0.0
4.0,Head Up,0.0
3.0,Walk,0.0
4.0,Head Up,0.0
4.0,Graze,0.0
3.0,Walk,0.0
3.0,Walk,0.0
3.0,Graze,0.0
3.0,Running,0.0
3.0,Graze,0.0
3.0,Head Up,0.0
3.0,Occluded,0.0
4.0,Graze,0.0
3.0,Graze,0.0
4.0,Walk,0.0
3.0,Walk,0.0
1.0,Graze,0.0
1.0,Out of Focus,0.0
1.0,Walk,0.0
1.0,Walk,0.0
3.0,Walk,0.0
4.0,Running,0.0
4.0,Graze,0.0
4.0,Trotting,0.0
4.0,Out of Focus,0.0
4.0,Graze,0.0
4.0,Walk,0.0
1.0,Graze,0.0
4.0,Head Up,0.0
4.0,Head Up,0.0
1.0,Trotting,0.0
1.0,Walk,0.0
1.0,Head Up,0.0
3.0,Head Up,0.0
3.0,Head Up,0.0
1.0,Graze,0.0
2.0,Head Up,0.0
4.0,Walk,0.0
2.0,Walk,0.0
2.0,Walk,0.0
