id,behaviour,time
2.0,Graze,0 days 00:00:00
2.0,Head Up,0 days 00:11:54
2.0,Graze,0 days 00:13:46
2.0,Walk,0 days 00:02:03
2.0,Out of Focus,0 days 00:02:26
2.0,Walk,0 days 00:03:33
2.0,Head Up,0 days 00:07:27
2.0,Walk,0 days 00:10:25
2.0,Graze,0 days 00:21:08
2.0,Walk,0 days 00:28:46
2.0,Out of Focus,0 days 00:39:06
2.0,Walk,0 days 00:39:16
2.0,Out of Focus,0 days 00:42:52
2.0,Walk,0 days 00:42:55
2.0,Occluded,0 days 02:00:01
2.0,Graze,0 days 02:01:06
2.0,Occluded,0 days 02:06:06
2.0,Graze,0 days 00:00:00
2.0,Head Up,0 days 00:00:57
2.0,Walk,0 days 01:19:40
2.0,Head Up,0 days 01:21:16
2.0,Walk,0 days 00:00:00
2.0,Out of Focus,0 days 00:11:16
2.0,Walk,0 days 00:11:59
2.0,Out of Focus,0 days 00:16:20
2.0,Walk,0 days 00:00:00
2.0,Graze,0 days 00:01:45
2.0,Walk,0 days 00:07:28
2.0,Head Up,0 days 00:11:35
2.0,Walk,0 days 00:12:33
2.0,Graze,0 days 00:22:04
2.0,Walk,0 days 00:00:00
2.0,Out of Focus,0 days 00:02:24
2.0,Graze,0 days 00:00:00
2.0,Head Up,0 days 00:41:39
2.0,Graze,0 days 00:45:08
2.0,Walk,0 days 00:00:36
2.0,Running,0 days 00:00:00
2.0,Walk,0 days 00:00:00
2.0,Out of Frame,0 days 00:07:24
2.0,Graze,0 days 00:05:26
2.0,Walk,0 days 00:24:09
2.0,Graze,0 days 00:25:58
2.0,Head Up,0 days 00:00:00
2.0,Auto-Groom,0 days 00:14:27
2.0,Head Up,0 days 00:15:31
2.0,Walk,0 days 00:16:15
2.0,Head Up,0 days 00:20:53
2.0,Defecating,0 days 00:21:34
2.0,Head Up,0 days 00:30:34
2.0,Walk,0 days 00:31:40
2.0,Head Up,0 days 00:00:00
2.0,Graze,0 days 00:02:43
2.0,Head Up,0 days 00:10:48
2.0,Auto-Groom,0 days 00:11:19
2.0,Head Up,0 days 00:13:15
2.0,Graze,0 days 00:13:25
2.0,Head Up,0 days 00:17:00
2.0,Walk,0 days 00:21:55
2.0,Head Up,0 days 00:28:21
2.0,Walk,0 days 00:28:22
2.0,Head Up,0 days 00:28:37
2.0,Walk,0 days 00:33:41
